id,title,text,image,order,page_id
2,Во что я верю,"Мне важны бережность к человеку, уважение к ритму группы и ясная структура программы, в которой есть место свободе, тишине и совместному опыту.",pages/sections/101.webp,1,1
1,Как появился проект,"Новое Конаково выросло из практики маленьких встреч и маршрутов по местам, где можно замедлиться, услышать себя и побыть в живом диалоге с природой.",pages/sections/100.webp,0,1
3,Что вы получите,"На странице и в программах вы найдете понятные форматы участия: от авторских маршрутов до камерных практик, с прозрачной организацией и сопровождением.",pages/sections/1043.webp,2,1
8,Поддержка команды,"Участникам доступны понятные задачи, сопровождение координаторов и комфортный вход без перегруза.","",1,3
9,Гибкий формат,"Можно выбрать удобный режим: разовое участие, ежемесячный выезд или сезонную серию задач.","",2,3
10,Идея клуба,"Тренировки ориентированы на регулярность и бережную нагрузку, которую легко встроить в повседневную жизнь.",pages/sections/104.webp,0,4
11,Структура занятия,"Каждая встреча включает разминку, основной блок и мягкое восстановление с учетом уровня группы.",pages/sections/101_NTzyS3n.webp,1,4
12,Эффект регулярности,"Участники отмечают рост выносливости, более ровное состояние и устойчивую мотивацию тренироваться в команде.",pages/sections/100_pDTNwsu.webp,2,4
15,Как устроено участие,вмымывмывмывмывмывмывмвым,pages/sections/102_PrdyevF.webp,0,5
16,сывмвымсывсы,сввысывсывсывсыв,pages/sections/101_SMK575z.webp,0,5
